mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000091077.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101053.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099861.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100939.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079806.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101243.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096036.2	0	0	0	0	0	0	0	0	0	0	0.715257	0	0	0	0	0	0	0	0	0.390924	0	0
ENSMUSG00000100634.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095693.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093987.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094511.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093918.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101667.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069036.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094881.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069044.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069045.11	0	0	0.347663	0.202678	0.169487	0	0.555826	0	0	0.176843	0.330278	0.252202	37.0397	69.2478	50.9403	86.115	34.0734	72.5127	39.6774	59.2082	0.565395	0.6039
ENSMUSG00000068457.14	0	0	0	0	0	0	0	0	0	0	0	0	5.78196	6.36523	5.3213	7.58056	5.27743	5.57905	4.73924	6.12598	0.138729	0
ENSMUSG00000069049.11	0	0.971232	0	0	0	0.352735	0.316809	0	0	0.302515	1.1296	0	59.7045	71.0972	56.4874	70.6675	93.5909	88.2207	93.6223	78.9671	0	0.34441
ENSMUSG00000093806.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52777	0	0	0	0
ENSMUSG00000025742.5	14.6756	14.1365	15.2359	12.1729	11.8281	12.5377	10.827	16.7518	11.6929	11.7682	12.8668	14.2307	7.99869	12.8686	10.6967	11.1198	8.56271	13.9068	10.6894	17.1038	11.6988	15.6822
ENSMUSG00000040522.5	100.983	109.525	99.5075	130.306	110.01	123.455	109.805	84.1183	90.7088	88.1558	146.03	96.806	106.374	95.6074	102.2	104.688	127.066	111.843	115.211	91.996	131.648	100.73
ENSMUSG00000049775.16	6285.93	6870.59	7170.81	7196.57	7408.74	7336.95	6246.6	6881.55	6563.29	7654.29	5653.92	6405.75	6164.22	8595.06	6356.42	7105.82	5543.72	6486.24	5845.68	6175.13	5474.32	6893.51
ENSMUSG00000040586.8	6.93595	5.44873	5.46744	5.01922	4.64963	6.47777	5.20837	6.13986	4.82083	6.03542	6.85266	5.4772	3.8925	5.48353	5.31696	6.23991	2.67857	5.86161	3.60025	5.30309	3.21596	5.65731
ENSMUSG00000018589.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182822	0	0	0	0
ENSMUSG00000079600.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031380.10	0	0	0	0	0	0	0	0	0.260459	0	0	0	0	0.270765	0	0	0	0	0	0	0	0
ENSMUSG00000031379.13	1.21174	2.14526	0.692269	0.782869	2.62548	0	1.43109	1.96785	1.95076	1.36825	0	0	1.25029	3.53328	0.71849	0	0.723702	0	1.43549	0.718378	0	0.400941
ENSMUSG00000015401.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031373.4	0	0.722484	1.3023	0.60025	0.506009	0	0.44596	0.454171	1.13495	0.818547	0	0	1.7098	1.24871	2.61091	0.721463	1.63557	1.37185	2.95122	1.05087	1.02843	0.536824
ENSMUSG00000083695.6	0	0	0	0	0	0	0.513624	0	0	0.490754	0	1.0784	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031364.2	0	0	0	0	0	0	0	0	0	0	0.401075	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000040808.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031357.3	42.6016	47.3304	38.2931	47.3513	38.6054	43.2651	39.9762	54.2193	39.5771	55.014	36.8623	55.0492	42.8104	57.3331	35.4586	45.9006	38.1554	44.1939	39.2123	40.25	31.8428	46.1481
ENSMUSG00000038344.14	16.4131	16.4051	16.512	22.2016	15.6983	19.762	16.3573	19.8289	15.3721	18.9376	22.1512	28.0105	20.0279	20.8201	13.6088	16.6657	16.8766	15.1618	14.0815	16.1292	13.0588	21.4009
ENSMUSG00000040855.15	0.39117	0	0.46544	0.234046	0.065203	0	0.142638	0	0.395991	0	0.381378	0	0.124346	0	0.069499	0.146435	0	0	0	0.346405	0.16815	0.077448
ENSMUSG00000043518.7	0.290442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.267155	0	0	0	0	0	0
ENSMUSG00000031292.14	1.22508	0.77729	0.749192	0.440512	1.1954	1.44322	0.829494	0.818754	2.75376	0.211044	0.353756	1.25171	0.674876	0.159365	0.431112	0.113535	0.271505	0.949125	0.38744	0.322269	0.58673	0.589949
ENSMUSG00000031293.13	0.308539	0	0.087951	0	0.085735	0	0.375062	0	0.086779	0.882201	0.50142	0	0.081747	0	0	0.200824	0	0.09635	0.09386	0.902957	0	0.101834
ENSMUSG00000031295.13	49.4133	58.895	47.7846	47.8195	55.5156	47.9908	69.4354	50.214	44.2111	38.9221	50.4106	43.3934	43.8504	39.1843	26.5428	48.4182	42.2208	48.5987	44.861	48.2923	64.7853	41.9277
ENSMUSG00000031299.10	90.4515	143.142	93.1918	152.157	109.147	145.624	98.2895	144.217	99.7991	161.662	83.5913	154.751	86.6229	147.334	98.6873	163.565	102.359	141.797	100.449	131.622	101.445	160.375
ENSMUSG00000031303.8	24.5345	33.7704	28.7371	28.9224	33.4788	40.8604	28.5017	29.3698	25.673	33.1162	24.2448	29.9424	18.8415	26.2718	12.1522	26.2735	24.7104	28.8074	21.6334	26.9328	26.5213	32.4467
ENSMUSG00000044150.12	5.64106	15.2754	6.5394	13.0714	5.46487	11.9939	7.57129	11.6405	7.98908	11.2461	8.51943	13.1029	4.8886	12.4489	7.04023	9.03444	4.23612	9.8909	3.82184	7.09984	6.8467	11.8997
ENSMUSG00000041020.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031309.15	62.9383	72.5137	55.7054	70.0659	80.0568	78.172	105.35	69.9736	60.794	63.8692	85.5667	45.7804	46.9546	70.4229	51.8446	82.9293	71.8821	56.6667	56.9055	64.8536	57.3303	97.7757
ENSMUSG00000025658.16	0.104724	0	0	0	0	0	0	0	0	0	0	0	0	0.11871	0.120336	0	0	0	0	0	0	0
ENSMUSG00000057457.11	0	0.178297	0	0.290492	0	0	0	0.213495	0	0	0	0	0	0	0.407945	0	0	0.08965	0	0.452763	0	0
ENSMUSG00000055109.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025051.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000059663.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000050148.9	25.8345	27.1496	19.2832	28.1509	23.6917	27.4976	23.2274	23.6712	21.9668	28.5484	23.2347	29.5167	23.1696	20.4093	18.3996	26.4322	20.3423	24.8977	19.7429	24.3711	27.5756	28.3205
ENSMUSG00000041649.13	3.0519	0.640424	1.84898	0.548486	2.75118	1.11453	3.13374	0.689583	2.25364	1.25061	1.78755	3.42729	1.63942	0.843485	2.39465	0.643615	1.82144	0.644021	1.63136	0.487318	3.00691	1.51124
ENSMUSG00000041658.12	0.832881	0.517686	2.59678	2.77101	0.927203	0.563725	0.506609	0.696722	1.17288	0.725481	0	4.83258	0	0.487631	0.748149	2.37418	0.753196	1.82199	0.770585	0.739458	2.20092	8.0283
ENSMUSG00000071665.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025333.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041096.13	12.4125	18.1706	13.0175	13.2413	14.088	17.4927	14.4679	13.5534	13.2947	9.00683	16.8205	27.592	9.59578	13.6938	21.9436	14.7925	17.6074	11.2308	12.5007	12.2911	15.7999	17.6664
ENSMUSG00000041133.11	84.0165	91.9402	73.19	96.3525	69.738	87.4023	76.2763	88.2378	74.9352	83.0907	94.7368	111.983	78.5438	93.7266	85.6772	73.3812	75.3869	76.9138	74.2267	88.9516	82.2036	92.584
ENSMUSG00000025257.5	0.861965	2.81475	0.369403	0.430466	0.720683	0	0	1.62337	0	0	0	0	0	0.379283	0.383361	2.4278	1.15839	0.808648	0.394273	1.53358	0.463674	0
ENSMUSG00000025260.10	80.0162	59.2655	69.9596	37.4893	68.8891	36.8014	78.4169	37.1517	60.5104	47.8736	75.2027	53.9241	80.0082	38.2141	99.4943	46.1428	85.2596	55.5233	89.1578	54.0682	62.1	42.9773
