SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000213397.10	20.8377	25.3363	9.79705	12.5884	18.4247	22.2328	20.3188	15.9168	6.54242	6.9627	11.9505	7.79571	5.05262	5.67309	9.14829	0
ENSG00000189420.8	0.761979	0.514732	0.87382	0.743012	0.704978	0.541765	1.4561	0.344525	0.637353	1.04818	0.395994	0.581603	0.123285	0.932312	0.846034	0.355275
ENSG00000214897.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225110.3	0	0	0	0	0	0	0.198781	0	0	0	0	0	0	0	0	0
ENSG00000278803.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235961.6	0.950262	0.374394	0.362752	1.08127	0.586019	0	0	0	0	0	0	0	0.358695	0.679298	0.70245	0.689185
ENSG00000183837.9	6.64206	5.10835	2.053	4.27358	1.36146	1.40291	2.49538	3.38243	2.23696	2.11644	0.2277	0.872359	1.9901	0.805016	1.25093	1.8955
ENSG00000198883.12	0	0	0	0	0	0	0.422342	0	0	0.212749	0	0.295295	0	0	0.245393	0
ENSG00000147383.11	8.25062	2.67508	10.0329	2.70347	7.19943	5.07505	10.1959	6.95662	2.6488	4.94335	3.83421	6.64225	3.5881	5.09796	7.45999	4.73825
ENSG00000213401.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198930.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183305.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221867.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000011677.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124260.12	0.640453	0	0	0	0.243278	0.655324	0	0	0	0.504658	0.318857	0.724289	0.316897	0.281875	0.583975	0
ENSG00000102287.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147381.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000183862.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130032.17	0.116783	0	0.267834	0	0	3.00738	0.223154	2.84634	0.273506	0.449775	0.708027	4.12109	0.66132	0.125035	0.388976	0.381151
ENSG00000160131.13	10.5384	5.89396	6.69396	6.31821	10.2762	8.50571	13.8579	6.30369	3.16816	5.89438	3.11714	6.08757	4.03191	4.26983	6.32305	3.05114
ENSG00000102181.21	16.722	8.29289	15.7719	13.0419	15.5685	12.231	17.2427	18.4089	9.40384	15.9527	8.34369	9.19264	5.84743	9.42355	14.9985	7.48885
ENSG00000123584.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171116.7	0	0.43322	0	0.417089	0.846108	0	0	0	0	1.76051	0.443742	0	0.415056	2.75225	1.62519	0.797497
ENSG00000268738.3	1.82955	0	2.51347	0	0.847678	1.367	2.44331	0.772855	0.856551	0	0	0	0	0	0	0
ENSG00000267978.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
