SampleAC1	SampleAC2	SampleAC3	SampleAC4	SampleAD1	SampleAD2	SampleAD3	SampleAD4	SampleBC1	SampleBC2	SampleBC3	SampleBC4	SampleBD1	SampleBD2	SampleBD3	SampleBD4
ENSG00000236423.6	3	1	5	4	2	1	4	6	1	5	4	0	1	3	4	1
ENSG00000233304.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284668.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284703.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229280.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284694.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232596.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196581.11	5	0	2	2	3	0	2	1	0	1	2	0	2	0	0	1
ENSG00000287586.1	11	1	14	2	9	1	10	1	1	4	2	4	3	1	2	11
ENSG00000284739.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284674.1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284616.1	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0
ENSG00000284692.2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000284666.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283356.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000236948.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131697.18	43	12	31	15	54	25	41	21	9	28	15	16	15	21	12	9
ENSG00000069424.15	847	284	481	503	713	391	599	583	302	639	292	353	496	450	427	282
ENSG00000116254.18	1	0	2	1	3	0	1	0	0	0	1	0	0	0	0	0
ENSG00000285629.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116251.11	166	96	114	143	139	163	207	130	43	92	45	50	62	54	83	44
ENSG00000226944.1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
ENSG00000158286.13	11	5	6	8	1	6	8	5	1	1	6	3	0	1	7	3
ENSG00000116237.16	121	37	63	51	96	41	115	57	17	44	28	32	41	49	41	29
ENSG00000225077.3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000173673.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000158292.7	29	1	4	13	5	1	9	2	0	1	0	0	4	6	5	4
ENSG00000097021.19	22	4	5	14	21	8	16	7	1	9	11	2	4	16	6	2
ENSG00000271746.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000069812.11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000187017.17	33	11	46	14	13	91	5	23	12	10	73	40	70	21	4	49
ENSG00000265392.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215788.10	241	144	149	181	96	141	243	120	33	47	28	54	62	80	51	38
ENSG00000171680.22	2	8	3	11	8	8	6	1	1	4	1	2	8	9	1	1
ENSG00000162408.11	104	57	58	51	80	70	125	65	24	39	30	26	28	47	32	30
ENSG00000253022.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173662.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204859.13	156	41	101	80	104	61	148	110	62	96	64	51	59	81	69	48
ENSG00000162413.16	204	95	219	187	417	156	401	293	179	277	231	198	191	204	206	163
ENSG00000116273.6	49	16	31	24	28	23	37	29	19	20	23	17	26	19	15	7
ENSG00000041988.15	40	13	23	27	36	20	37	22	12	34	8	15	9	17	17	11
ENSG00000007923.16	137	40	87	66	84	40	125	84	29	40	37	44	38	63	50	20
ENSG00000228750.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284744.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237436.1	2	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0
ENSG00000171735.19	52	9	20	20	25	14	43	26	6	18	9	9	9	9	14	9
ENSG00000227950.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207056.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237402.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237728.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270171.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000049245.13	158	72	158	107	331	145	276	243	110	174	124	118	108	115	202	120
ENSG00000269925.1	7	1	1	3	3	1	5	6	2	2	2	0	0	5	1	0
ENSG00000049246.14	18	11	16	8	22	13	21	7	1	6	11	2	4	2	4	0
ENSG00000236266.1	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	0
ENSG00000049247.13	19	0	1	1	2	0	4	13	1	0	2	1	0	0	0	0
ENSG00000049249.9	27	1	23	21	57	19	60	11	49	23	24	41	19	12	30	9
ENSG00000270330.1	0	0	0	0	0	1	1	0	0	1	0	0	4	1	0	0
ENSG00000116288.13	191	87	127	116	203	104	205	165	72	128	52	54	69	73	112	84
ENSG00000200344.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284747.1	2	0	4	2	3	3	3	3	0	4	0	1	0	2	5	0
ENSG00000284716.1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000116285.13	3	0	1	3	1	0	4	2	0	0	1	0	0	0	0	0
ENSG00000238290.1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000232848.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227634.3	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
ENSG00000200975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162426.14	6	0	2	1	0	1	0	1	1	0	1	1	0	2	2	0
ENSG00000252254.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142599.19	498	162	407	249	588	288	585	375	278	331	389	393	356	441	240	207
ENSG00000232912.6	19	9	13	8	23	6	24	16	16	25	10	2	10	13	12	9
ENSG00000221083.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000270282.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234619.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224315.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000222511.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226545.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228423.2	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ENSG00000229716.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000074800.16	1298	414	828	692	1382	960	953	1016	524	1256	460	621	559	733	1031	544
ENSG00000274258.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230679.1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ENSG00000201725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238249.2	0	0	0	0	4	1	0	1	0	0	3	2	0	0	0	0
ENSG00000232208.2	3	2	4	7	0	7	5	3	0	0	0	2	1	1	1	1
ENSG00000232663.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686.15	4	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0
