mouse_110_WT_C	mouse_110_WT_NC	mouse_148_WT_C	mouse_148_WT_NC	mouse_158_WT_C	mouse_158_WT_NC	mouse_183_KOMIR150_C	mouse_183_KOMIR150_NC	mouse_198_KOMIR150_C	mouse_198_KOMIR150_NC	mouse_206_KOMIR150_C	mouse_206_KOMIR150_NC	mouse_2670_KOTet3_C	mouse_2670_KOTet3_NC	mouse_7530_KOTet3_C	mouse_7530_KOTet3_NC	mouse_7531_KOTet3_C	mouse_7532_WT_NC	mouse_H510_WT_C	mouse_H510_WT_NC	mouse_H514_WT_C	mouse_H514_WT_NC
ENSMUSG00000025261.18	86.1076	96.4287	63.8048	90.4411	78.0438	118.113	88.4621	95.6844	69.6295	62.4284	75.5519	89.8395	79.6759	84.4217	82.8368	81.1147	101.824	75.8785	83.6396	96.2032	80.1174	89.2771
ENSMUSG00000041229.15	42.7718	37.2928	39.8999	34.3197	37.3498	38.2619	36.7085	32.2732	31.5555	33.2918	34.8453	32.3647	39.2687	28.8306	42.4324	31.4183	30.4901	31.6882	38.5871	28.005	37.3611	32.4757
ENSMUSG00000025262.8	0.748256	1.71394	1.48293	1.99887	2.14879	1.86612	1.55972	0.595232	0.983239	0.747189	2.48505	2.24251	1.70144	1.9673	0.519335	2.0392	1.28639	2.00243	1.05286	1.12253	0.766725	1.81965
ENSMUSG00000025266.11	14.2257	12.6279	23.5903	17.5849	12.7554	14.6767	16.7939	13.6437	18.0283	16.4379	17.7796	16.632	13.3587	15.2388	14.8206	13.3056	12.9734	14.5337	12.833	15.7409	14.4139	14.8572
ENSMUSG00000025268.15	0	1.23386	0	0	0	0	0.885077	0	1.98688	0	2.65274	0	1.48163	2.89437	1.61988	2.64043	4.01351	1.66587	0.41083	2.49367	1.03532	1.50047
ENSMUSG00000025269.16	11.7123	13.2681	4.9333	9.43005	5.96477	7.91217	8.48017	8.19998	12.0259	10.8901	5.48606	7.55513	7.14929	5.11193	6.04225	5.02975	5.48302	7.27582	5.57132	8.66077	3.7144	5.31831
ENSMUSG00000041353.12	3.38257	5.97135	2.88396	4.10585	2.71036	4.54879	5.16047	8.30053	3.88729	3.50445	5.79244	0	2.64707	3.97902	5.79355	3.24967	5.20506	4.30321	3.61527	4.11964	1.89987	6.44295
ENSMUSG00000031358.17	36.5383	28.0601	39.3394	33.0652	40.6203	28.0395	31.523	28.5518	40.4331	31.5277	30.4537	28.2284	46.1338	33.2436	37.6321	25.8173	34.8001	30.6792	37.7653	29.5482	36.0031	27.7934
ENSMUSG00000094378.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000094885.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000079395.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000041380.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150041	0	0	0	0	0	1.22872	0
ENSMUSG00000041700.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085139.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000031285.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067276.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085584.3	0	0.17712	0	0.19181	0	0.578744	0	0.799683	0	0.167323	0	1.00408	0	1.15672	0	0	0	0	0	0.167625	0	0
ENSMUSG00000047045.17	106.112	142.002	93.4798	134.964	111.253	142.034	112.996	145.448	110.152	152.949	101.08	135.783	102.488	157.791	91.8225	145.856	101.878	125.34	104.835	114.748	111.111	142.455
